artist,size,title
Lee Blair,20.5 x 16.75 inches,"
        Sunbathing on the Rooftops, c. 1930s
      "
Ken Potter,22 x 30 inches,"
        San Francisco and the Golden Gate, 2006
      "
Millard Sheets,22 x 30 inches,"
        Diamond Head, Hawaii, c. 1950s
      "
Hardie Gramatky,9 x 11 inches,"
        Coutainville, France, 1976
      "
Millard Sheets,"18.25 x 22.25 inches, oil on canvas, signed lower right","
        Woods, 1928
      "
Hardie Gramatky,19.25 x 27 inches,"
        Holiday, (Westport), 1976
      "
Ken Potter,22 x 30 inches,"
        Morning Old St. Hilary's, 2000
      "
Art Riley,21.5 x 29 inches,"
        Pebble Beach Morning
      "
Millard Sheets,21.25 x 29.5 inches,"
        Statue of Liberty, New York Harbor, 1958
      "
James Green,14.75 x 21.75 inches,"
        Circus Elephants
      "
Rex Brandt,19.75 x 13.25 inches,"
        Orange County, 1968
      "
Sid Bingham,23.75 x 17.75 inches,"
        Milan, Italy
      "
Emil Kosa Jr.,"20 x 30 inches, oil on board, signed lower right","
        Lobos, Carmel, c. 1940s
      "
Frank J. Gavencky,"18 x 24 inches, oil on panel, signed lower right","
        Santa Fe Mailboxes
      "
Ken Potter,22 x 30 inches,"
        Grant & Washington, San Francisco, 1984
      "
Ken Potter,22 x 30 inches,"
        Alcatraz, 1979
      "
Hardie Gramatky,17.75 x 13.25 inches,"
        Revolt of Mother, 1948
      "
Roscoe Carver,14.5 x 20.5 inches,"
        Santa Cruz, c. 1930s
      "
Ken Potter,22 x 30 inches,"
        Monterey Pier, 1999
      "
Sid Bingham,20.75 x 28.75 inches,"
        Will Rogers State Beach, Late Summer
      "
Ken Potter,22 x 30 inches,"
        Hermosa Beach, 2000
      "
Frederic Whitaker,22 x 26 inches,"
        San Carlos Bay, c. 1950s
      "
Hardie Gramatky,20.5 x 27 inches,"
        Farm Visitors, (Westport), 1971
      "
Art Riley,21 x 27.5 inches,"
        San Pedro Harbor, 1962
      "
Lee Blair,14.5 x 20 inches,"
        Rakes Progress, c. 1930s
      "
Ralph Hulett,21.5 x 29.5 inches,"
        Morning in Alamos, c. 1940s
      "
Millard Sheets,"24 x 30 inches, oil on panel, signed lower right","
        L.A. River, 1927
      "
Hardie Gramatky,19 x 14 inches,"
        Refuge (Red Cross), 1937
      "
Emil Kosa Jr.,"25 x 29 inches, oil on canvas, signed lower left","
        Telegraph Hill, c. 1928
      "
Ken Potter,22 x 30 inches,"
        Balboa Bay, 2005
      "
Hardie Gramatky,12.5 x 18.5 inches,"
        Dogwood in the Park, (Westport), 1966
      "
Ken Potter,22 x 30 inches,"
        Zurich & Limmat from Quaibrucke, Switzerland, 1993
      "
Carolyn Lord,15 x 22 inches,"
        Cool Blue Porch, 1983
      "
Carolyn Lord,22 x 30 inches,"
        Wrigley Garden, 2008
      "
Hardie Gramatky,12 x 20.25 inches,"
        Serious Talk, 1936
      "
Hardie Gramatky,20.5 x 28.25 inches,"
        Country Road, (Westport), c. 1950s
      "
Ken Potter,22 x 30 inches,"
        Lake Tahoe from Tahoe City, 1987
      "
Phil Dike,10.5 x 14 inches,"
        Trading Post, San Carlos, AZ, c. 1933
      "
Ken Potter,22 x 30 inches,"
        Booth Building & U.S. Hotel, 2006
      "
Hardie Gramatky,18.5 x 26.75 inches,"
        Old Mill Pond, (Westport), 1976
      "
Hardie Gramatky,15.75 x 11.25 inches,"
        Life of Miss Churt, 1936
      "
Oscar Van Young,"30 x 36 inches, oil on board, signed lower right","
        Three Blocks from Skid Row, 1942
      "
Phil Dike,11 x 15 inches,"
        Afternoon Splendor, Newport Harbor, 1947
      "
Hardie Gramatky,19 x 25.25 inches,"
        House at Old Mill, (Westport), 1974
      "
Carolyn Lord,15 x 22 inches,"
        September Skies in Ryde, 1990
      "
Ken Potter,30 x 21.75 inches,"
        Indian River Palms, 1987
      "
Ken Potter,30 x 22 inches,"
        Balboa Pavilion, 1986
      "
Millard Sheets,21.75 x 29.75 inches,"
        Old Pines at Haven's Neck, 1962
      "
Robert Landry,18 x 24 inches,"
        Back Bay Ride, c. 1951
      "
Charles Payzant,17.75 x 23.75 inches,"
        Pepper Tree Ranch
      "
Frank J. Gavencky,"24 x 30 inches, oil on panel, signed lower right","
        Desert Village, Santa Fe
      "
Frederic Whitaker,30 x 21 inches,"
        La Tienda
      "
Robert E. Wood,25.75 x 39.75 inches,"
        Tropical Light
      "
Ken Potter,22 x 30 inches,"
        Santa Monica Pier, 2005
      "
Hardie Gramatky,11.75 x 21 inches,"
        Golden Glow, (Westport), 1967
      "
Ken Potter,17.5 x 23.25 inches,"
        Death of the Produce District, 1962
      "
Ken Potter,22 x 30 inches,"
        Studio Theatre, 1990
      "
Don David,16.25 x 21.5 inches,"
        Harbor Fishing
      "
Millard Sheets,22 x 30 inches,"
        Ireland Countryside, 1968
      "
Ken Potter,22 x 30 inches,"
        Double Diner, 1990
      "
Steve Santmyer,21.5 x 29 inches,"
        Rincon Chapel
      "
Ken Potter,30 x 22 inches,"
        St. Francis Church Sacramento
      "
Emil Kosa Jr.,"24 x 36 inches, oil on board, signed lower right","
        Boat Harbor, Fort Bragg, c. 1940s
      "
Carolyn Lord,15 x 22 inches,"
        A View of Elko, 1981
      "
Leon Amyx,Original Size  14 x 22 inches,"
        Old Natividad Store, 1940
      "
Jake Lee,14 x 22 inches,"
        Boat Station #4, 1939
      "
Frank M. Hamilton,16.5 x 27 inches,"
        Salt Creek, 1959
      "
Barse Miller,18 x 22 inches,"
        Tall Cool One, 1935
      "
Charles Payzant,14.5 x 21.5 inches,"
        Two Horse Town, c. 1939
      "
Harper Goff,11 x 15 inches,"
        The Farm, 1932
      "
Frank LaLumia,21 x 29 inches,"
        A Wedding in Old Mexico
      "
Jake Lee,14.25 x 21.5 inches,"
        Laundry on the Street, S.F., c. 1938
      "
Emil Kosa Jr.,14.25 x 21.25 inches,"
        California Homestead, c. 1930s
      "
Hardie Gramatky,12 x 13.25 inches,"
        Clothesline, 1945
      "
Millard Sheets,15.5 x 23 inches,"
        Homesick Boys, 1941
      "
Ken Potter,22 x 30 inches,"
        Studio Theatre, San Jose, 1990
      "
Chris Oldham,18 x 28.5 inches,"
        Always a Railroad Town
      "
Ken Potter,22 x 30 inches,"
        Fraumunsterbrucke at Night, 2010
      "
Ken Potter,22 x 30 inches,"
        Saillon and the Valley Rhone, Switzerland, 1993
      "
Millard Sheets,22 x 30 inches,"
        Chicago Skyline from Shedd Aquarium, 1955
      "
Tom Van Sant,21 x 28.5 inches,"
        After the Catch, Mexico
      "
Gordon Grant,11.25 x 15 inches,"
        Lobster Buoys
      "
Art Riley,22 x 29.5 inches,"
        Del Norte Woodsman
      "
Ken Potter,24 x 18 inhes,"
        Ceylon Street, 1962
      "
Tom Craig,15 x 22 inches,"
        Looking Into Pope Valley, c. 1938
      "
Norman Stiles Chamberlain,17.5 x 21.5 inches,"
        Apples and Milk Pitcher Still Life, c. 1945
      "
Virginia Tonetti,13.75 x 19.5 inches,"
        Angels Camp
      "
Art Riley,22 x 30 inches,"
        Thatching the House
      "
John Bohnenberger,21.5 x 29.5 inches,"
        The Ol' Compressor
      "
Ken Potter,22 x 30 inches,"
        Apple Orchard in the Snow, 1966
      "
Hardie Gramatky,15.25 x 19 inches,"
        Cornstalks and Pumpkins, 1952
      "
Rex Brandt,13.25 x 20.25 inches,"
        Early Birds, 1971
      "
Carolyn Lord,15 x 22 inches,"
        Aqua Bungalow and Palms, 1984
      "
John Bohnenberger,21 x 27.5 inches,"
        All Saints Church in Pasadena, CA
      "
John Bohnenberger,21.5 x 29.5 inches,"
        Monterey Park Fire Engine
      "
Ken Potter,22 x 30 inches,"
        Folsom Depot, 1997
      "
"Harold ""Hal"" Lanfair",13.75 x 20.5 inches,"
        At the Dock, c. 1930s
      "
Hardie Gramatky,14 x 20 inches,"
        Turkey Hill Sleigh Ride, (Westport), c. 1955
      "
Loren Barton,21.25 x 30 inches,"
        Barn with Chickens, c. 1930s
      "
